x , y , z
5.2 , 0 , 0
5.19993 , 0.0265577 , 0
5.19973 , 0.0531147 , 0
5.19939 , 0.0796703 , 0
5.19892 , 0.106224 , 0
5.19831 , 0.132775 , 0
5.19757 , 0.159322 , 0
5.19669 , 0.185865 , 0
5.19568 , 0.212404 , 0
5.19453 , 0.238937 , 0
5.19325 , 0.265463 , 0
5.19184 , 0.291983 , 0
5.19028 , 0.318495 , 0
5.1886 , 0.344999 , 0
5.18678 , 0.371494 , 0
5.18482 , 0.397979 , 0
5.18273 , 0.424454 , 0
5.18051 , 0.450918 , 0
5.17815 , 0.477371 , 0
5.17565 , 0.503811 , 0
5.17303 , 0.530237 , 0
5.17026 , 0.55665 , 0
5.16737 , 0.583049 , 0
5.16434 , 0.609433 , 0
5.16117 , 0.6358 , 0
5.15787 , 0.662151 , 0
5.15444 , 0.688485 , 0
5.15088 , 0.714801 , 0
5.14718 , 0.741099 , 0
5.14334 , 0.767377 , 0
5.13938 , 0.793636 , 0
5.13528 , 0.819873 , 0
5.13104 , 0.84609 , 0
5.12668 , 0.872285 , 0
5.12218 , 0.898456 , 0
5.11754 , 0.924605 , 0
5.11278 , 0.95073 , 0
5.10788 , 0.97683 , 0
5.10285 , 1.0029 , 0
5.09769 , 1.02895 , 0
5.09239 , 1.05497 , 0
5.08696 , 1.08097 , 0
5.0814 , 1.10694 , 0
5.07571 , 1.13287 , 0
5.06989 , 1.15878 , 0
5.06393 , 1.18466 , 0
5.05785 , 1.21051 , 0
5.05163 , 1.23632 , 0
5.04528 , 1.26211 , 0
5.0388 , 1.28786 , 0
5.03219 , 1.31358 , 0
5.02545 , 1.33926 , 0
5.01858 , 1.36491 , 0
5.01158 , 1.39052 , 0
5.00445 , 1.4161 , 0
4.99719 , 1.44164 , 0
4.98979 , 1.46714 , 0
4.98227 , 1.49261 , 0
4.97462 , 1.51804 , 0
4.96685 , 1.54342 , 0
4.95894 , 1.56877 , 0
4.9509 , 1.59408 , 0
4.94274 , 1.61934 , 0
4.93444 , 1.64457 , 0
4.92602 , 1.66975 , 0
4.91748 , 1.69488 , 0
4.9088 , 1.71998 , 0
4.9 , 1.74502 , 0
4.89107 , 1.77003 , 0
4.88201 , 1.79499 , 0
4.87282 , 1.8199 , 0
4.86351 , 1.84476 , 0
4.85408 , 1.86958 , 0
4.84451 , 1.89434 , 0
4.83483 , 1.91906 , 0
4.82501 , 1.94373 , 0
4.81507 , 1.96835 , 0
4.80501 , 1.99291 , 0
4.79482 , 2.01743 , 0
4.78451 , 2.04189 , 0
4.77407 , 2.0663 , 0
4.76351 , 2.09066 , 0
4.75283 , 2.11496 , 0
4.74202 , 2.13921 , 0
4.73109 , 2.1634 , 0
4.72004 , 2.18754 , 0
4.70887 , 2.21162 , 0
4.69757 , 2.23564 , 0
4.68615 , 2.2596 , 0
4.67461 , 2.28351 , 0
4.66295 , 2.30735 , 0
4.65117 , 2.33114 , 0
4.63927 , 2.35486 , 0
4.62724 , 2.37853 , 0
4.6151 , 2.40213 , 0
4.60284 , 2.42567 , 0
4.59045 , 2.44915 , 0
4.57795 , 2.47257 , 0
4.56533 , 2.49592 , 0
4.5526 , 2.5192 , 0
4.53974 , 2.54242 , 0
4.52677 , 2.56558 , 0
4.51368 , 2.58867 , 0
4.50047 , 2.61169 , 0
4.48715 , 2.63464 , 0
4.47371 , 2.65753 , 0
4.46015 , 2.68034 , 0
4.44648 , 2.70309 , 0
4.43269 , 2.72577 , 0
4.41879 , 2.74837 , 0
4.40477 , 2.77091 , 0
4.39064 , 2.79337 , 0
4.3764 , 2.81576 , 0
4.36204 , 2.83808 , 0
4.34757 , 2.86033 , 0
4.33299 , 2.8825 , 0
4.31829 , 2.90459 , 0
4.30349 , 2.92661 , 0
4.28857 , 2.94856 , 0
4.27354 , 2.97043 , 0
4.2584 , 2.99222 , 0
4.24315 , 3.01393 , 0
4.22779 , 3.03557 , 0
4.21232 , 3.05713 , 0
