x , y , z
5.2 , 0 , 0
5.19973 , 0.0531154 , 0
5.19892 , 0.106225 , 0
5.19757 , 0.159324 , 0
5.19568 , 0.212406 , 0
5.19325 , 0.265467 , 0
5.19028 , 0.318499 , 0
5.18678 , 0.371499 , 0
5.18273 , 0.42446 , 0
5.17815 , 0.477377 , 0
5.17303 , 0.530244 , 0
5.16737 , 0.583057 , 0
5.16117 , 0.635808 , 0
5.15444 , 0.688494 , 0
5.14718 , 0.741109 , 0
5.13938 , 0.793646 , 0
5.13104 , 0.846101 , 0
5.12218 , 0.898468 , 0
5.11278 , 0.950742 , 0
5.10285 , 1.00292 , 0
5.09239 , 1.05499 , 0
5.0814 , 1.10695 , 0
5.06989 , 1.1588 , 0
5.05785 , 1.21052 , 0
5.04528 , 1.26212 , 0
5.03219 , 1.31359 , 0
5.01858 , 1.36493 , 0
5.00445 , 1.41612 , 0
4.98979 , 1.46716 , 0
4.97462 , 1.51806 , 0
4.95894 , 1.56879 , 0
4.94274 , 1.61936 , 0
4.92602 , 1.66977 , 0
4.9088 , 1.72 , 0
4.89106 , 1.77005 , 0
4.87282 , 1.81992 , 0
4.85408 , 1.8696 , 0
4.83482 , 1.91909 , 0
4.81507 , 1.96837 , 0
4.79482 , 2.01746 , 0
4.77407 , 2.06633 , 0
4.75283 , 2.11499 , 0
4.73109 , 2.16343 , 0
4.70886 , 2.21164 , 0
4.68615 , 2.25963 , 0
4.66295 , 2.30738 , 0
4.63926 , 2.3549 , 0
4.6151 , 2.40216 , 0
4.59045 , 2.44918 , 0
4.56533 , 2.49595 , 0
4.53974 , 2.54246 , 0
4.51367 , 2.5887 , 0
4.48714 , 2.63468 , 0
4.46015 , 2.68038 , 0
4.43269 , 2.7258 , 0
4.40477 , 2.77094 , 0
4.37639 , 2.8158 , 0
4.34757 , 2.86036 , 0
4.31829 , 2.90463 , 0
4.28856 , 2.9486 , 0
4.25839 , 2.99226 , 0
4.22778 , 3.03561 , 0
4.19673 , 3.07864 , 0
4.16525 , 3.12136 , 0
4.13334 , 3.16376 , 0
4.10099 , 3.20582 , 0
4.06823 , 3.24756 , 0
4.03504 , 3.28896 , 0
4.00143 , 3.33002 , 0
3.96741 , 3.37073 , 0
