x , y , z
5.2 , 0 , 0
5.19784 , 0.106231 , 0
5.19352 , 0.212417 , 0
5.18704 , 0.318516 , 0
5.1784 , 0.424481 , 0
5.16761 , 0.53027 , 0
5.15466 , 0.635839 , 0
5.13957 , 0.741142 , 0
5.12233 , 0.846136 , 0
5.10295 , 0.950776 , 0
5.08144 , 1.05502 , 0
5.05781 , 1.15882 , 0
5.03207 , 1.26214 , 0
5.00422 , 1.36493 , 0
4.97427 , 1.46715 , 0
4.94225 , 1.56876 , 0
4.90815 , 1.66971 , 0
4.872 , 1.76995 , 0
4.8338 , 1.86946 , 0
4.79357 , 1.96818 , 0
4.75134 , 2.06608 , 0
4.70711 , 2.16311 , 0
4.6609 , 2.25923 , 0
4.61273 , 2.3544 , 0
4.56262 , 2.44858 , 0
4.5106 , 2.54173 , 0
4.45667 , 2.63381 , 0
4.40087 , 2.72478 , 0
4.34322 , 2.8146 , 0
4.28373 , 2.90324 , 0
4.22245 , 2.99066 , 0
4.15938 , 3.07681 , 0
4.09455 , 3.16167 , 0
4.028 , 3.24519 , 0
3.95976 , 3.32735 , 0
3.88983 , 3.4081 , 0
3.81827 , 3.48741 , 0
3.74509 , 3.56525 , 0
3.67034 , 3.64158 , 0
3.59403 , 3.71637 , 0
3.5162 , 3.78959 , 0
3.43689 , 3.86121 , 0
3.35612 , 3.9312 , 0
3.27393 , 3.99953 , 0
3.19036 , 4.06616 , 0
3.10544 , 4.13108 , 0
3.01921 , 4.19424 , 0
2.9317 , 4.25563 , 0
2.84294 , 4.31522 , 0
2.75299 , 4.37299 , 0
2.66187 , 4.4289 , 0
2.56962 , 4.48294 , 0
2.47628 , 4.53508 , 0
2.3819 , 4.5853 , 0
2.28651 , 4.63358 , 0
2.19015 , 4.6799 , 0
2.09286 , 4.72424 , 0
1.99469 , 4.76658 , 0
1.89567 , 4.8069 , 0
1.79585 , 4.84518 , 0
1.69527 , 4.88142 , 0
1.59397 , 4.91558 , 0
1.492 , 4.94767 , 0
1.3894 , 4.97767 , 0
1.2862 , 5.00555 , 0
1.18247 , 5.03132 , 0
1.07823 , 5.05497 , 0
0.973541 , 5.07647 , 0
0.868437 , 5.09583 , 0
0.762967 , 5.11303 , 0
0.657173 , 5.12807 , 0
0.551102 , 5.14095 , 0
0.444799 , 5.15165 , 0
0.338307 , 5.16018 , 0
0.231672 , 5.16652 , 0
0.12494 , 5.17069 , 0
0.018155 , 5.17267 , 0
-0.0886377 , 5.17247 , 0
-0.195393 , 5.17009 , 0
-0.302066 , 5.16553 , 0
-0.408612 , 5.15879 , 0
-0.514985 , 5.14988 , 0
-0.621142 , 5.1388 , 0
-0.727036 , 5.12555 , 0
-0.832625 , 5.11015 , 0
-0.937864 , 5.09259 , 0
-1.04271 , 5.0729 , 0
-1.14711 , 5.05107 , 0
-1.25104 , 5.02712 , 0
-1.35444 , 5.00106 , 0
-1.45726 , 4.97289 , 0
-1.55948 , 4.94264 , 0
-1.66105 , 4.91032 , 0
-1.76191 , 4.87594 , 0
